iata,timezone,gmt_offset,offset_hours,name,city_code,country_id,latitude,longitude,elevation,icao
PCC,America/Bogota,GMT -5:00,-5,Puerto Rico,PCC,CO,1.9,-75.15,793,
PTZ,America/Guayaquil,GMT -5:00,-5,Pastaza,PTZ,EC,-2,-77,1112,SESM
SFU,Pacific/Port_Moresby,GMT +10:00,10,Safia,SFU,PG,-9.666667,148.66667,994,AYSF
SIZ,Pacific/Port_Moresby,GMT +10:00,10,Sissano,SIZ,PG,-3,142.05,36,AYZN
SQF,America/Bogota,GMT -5:00,-5,Solano,SQF,CO,2,-66.96667,374,
JUA,America/Cuiaba,GMT -4:00,-4,Juara,JUA,BR,-11.333333,-57.466667,870,SIZX
NBB,America/Bogota,GMT -5:00,-5,Barrancominas,NBB,CO,3.333333,-70.333336,580,SKBM
MFB,America/Bogota,GMT -5:00,-5,Monfort,MFB,CO,0.6228313,-69.7486638,472,
MHF,America/Bogota,GMT -5:00,-5,Morichal,MHF,CO,2.15,-70.583336,672,
PUU,America/Bogota,GMT -5:00,-5,Puerto Asis Airport,PUU,CO,0.5056368,-76.5008699537092,816,SKAS
SOH,America/Bogota,GMT -5:00,-5,Solita,SOH,CO,9.2,-71.76667,52,
ACD,America/Bogota,GMT -5:00,-5,Acandi,ACD,CO,8.516667,-77.3,72,SKAD
ACR,America/Bogota,GMT -5:00,-5,Araracuara,ACR,CO,-0.383333,-72.3,482,SKAC
ARF,America/Bogota,GMT -5:00,-5,Acaricuara,ARF,CO,0.533333,-70.133333,593,
BHF,America/Bogota,GMT -5:00,-5,Bahia Cupica,BHF,CO,6.6940746,-77.4946873,36,
CCO,America/Bogota,GMT -5:00,-5,Carimagua,CCO,CO,4.56417,-71.3364,544,SKCI
CPB,America/Bogota,GMT -5:00,-5,Capurgana,CPB,CO,8.632427,-77.3501218698157,95,SKCA
CQT,America/Bogota,GMT -5:00,-5,Caquetania,CQT,CO,1.616667,-74.166664,807,
CSR,America/Bogota,GMT -5:00,-5,Casuarito,CSR,CO,5.833333,-68.133333,242,
CUO,America/Bogota,GMT -5:00,-5,Caruru,CUO,CO,1.033333,-71.23333,639,SKCR
ECR,America/Bogota,GMT -5:00,-5,El Charco,ECR,CO,2.5,-78,75,SKEH
GPI,America/Bogota,GMT -5:00,-5,Guapi Airport,GPI,CO,2.5,-78.34167,0,SKGP
HRR,America/Bogota,GMT -5:00,-5,Herrera,HRR,CO,3.216667,-75.85,8139,
NAR,America/Bogota,GMT -5:00,-5,Nare,NAR,CO,6.21002,-74.5906,416,SKPN
NCI,America/Bogota,GMT -5:00,-5,Necocli,NCI,CO,8.45545345,-76.7797896004445,45,SKNC
ASC,America/La_Paz,GMT -4:00,-4,Ascension,ASC,BO,-15.916667,-63.15,800,SLAS
AYG,America/Bogota,GMT -5:00,-5,Yaguara,AYG,CO,1.533333,-73.933334,770,SKYA
LPD,America/Bogota,GMT -5:00,-5,La Pedrera,LPD,CO,-1.3,-69.71667,216,SKLP
MVP,America/Bogota,GMT -5:00,-5,Mitu,MVP,CO,1.133333,-70.05,751,SKMU
PCR,America/Bogota,GMT -5:00,-5,Puerto Carreno Airport,PCR,CO,6.183333,-67.63333,134,SKPC
PAL,America/Bogota,GMT -5:00,-5,Palanquero,PAL,CO,52.15,-74.65,990,SKPQ
PZA,America/Bogota,GMT -5:00,-5,Casanare,PZA,CO,5.877778,-71.885,826,SKPZ
MGD,America/La_Paz,GMT -4:00,-4,Magdalena,MGD,BO,-13.325278,-64.124725,459,SLMG
OEM,America/Paramaribo,GMT -3:00,-3,Vincent Fayks,OEM,SR,3.3444506,-55.4461921186768,511,SMPA
ABN,America/Paramaribo,GMT -3:00,-3,Albina,ABN,SR,5.5,-54.083332,108,SMBN
BVK,America/La_Paz,GMT -4:00,-4,Huacaraje,BVK,BO,-13.55,-63.75,482,SLHJ
CCA,America/Chicago,GMT -6:00,-6,Chaffee AFB,CCA,US,35.316666,-94.3,482,SLCH
CEP,America/La_Paz,GMT -4:00,-4,Concepcion,CEP,BO,-16.233334,-62.083332,1696,SLCP
SJB,America/La_Paz,GMT -4:00,-4,San Joaquin,SJB,BO,-13.083333,-64.8,449,SLJO
DRJ,America/Paramaribo,GMT -3:00,-3,Drietabbetje,DRJ,SR,4.1114213,-54.6727808007658,242,SMDA
RDC,America/Belem,GMT -3:00,-3,Redencao,RDC,BR,-8.03127325,-49.9795495957752,603,SNDC
PUR,America/La_Paz,GMT -4:00,-4,Puerto Rico,PUR,BO,-11.1125,-67.52,600,SLPR
SBL,America/La_Paz,GMT -4:00,-4,Yacuma,SBL,BO,-13.716667,-65.45,495,SLSA
SNM,America/La_Paz,GMT -4:00,-4,San Ignacio De M,SNM,BO,-14.966389,-65.63556,541,SLSM
SMH,Pacific/Port_Moresby,GMT +10:00,10,Sapmanga,SMH,PG,-6.083333,146.75,3241,AYSP
SMP,Pacific/Port_Moresby,GMT +10:00,10,Stockholm,SMP,PG,-4.566667,151.96666,1978,
MPY,America/Cayenne,GMT -3:00,-3,Maripasoula,MPY,GF,3.65601315,-54.0393089044316,328,SOOA
ALD,America/Lima,GMT -5:00,-5,Alerta,ALD,PE,-11.683333,-69.333336,859,SPAR
GSI,Pacific/Guadalcanal,GMT +11:00,11,Guadalcanal,GSI,SB,-9.533333,160.2,272,SOGS
GTA,Pacific/Guadalcanal,GMT +11:00,11,Gatokae Aerodrom,GTA,SB,-8.766667,158.18333,823,AGOK
ITI,America/Sao_Paulo,GMT -3:00,-3,Itambacuri,ITI,BR,-18,-41.5,1394,SNYH
OBI,America/Santarem,GMT -3:00,-3,Obidos,OBI,BR,-1.916667,-55.516666,95,SNTI
SRV,America/Anchorage,GMT -9:00,-9,Stony River,SRV,US,61.7860128,-156.5912304,134,SRV
KCB,America/Paramaribo,GMT -3:00,-3,Tepoe Airstrip,KCB,SR,3.1557421,-55.7151323,596,SMTP
SQT,Pacific/Port_Moresby,GMT +10:00,10,China Straits Airstrip,SQT,PG,-10.55,150.68333,72,AYCS
SRM,Australia/Brisbane,GMT +10:00,10,Sandringham,SRM,AU,-24.05,139.06667,278,
AAJ,America/Paramaribo,GMT -3:00,-3,Cayana Airstrip,AAJ,SR,3.8987445,-55.5779688,278,SMCA
APU,America/Sao_Paulo,GMT -3:00,-3,Apucarana,APU,BR,-23.55,-51.483334,2408,SSAP
JAE,America/New_York,GMT -5:00,-5,Shumba Airport,CIX,PE,33.638058,-84.424446,994,SPJE
CAJ,America/Caracas,GMT -4:00,-4,Canaima,CAJ,VE,6.2295804,-62.8545914822487,1377,SVCN
SSS,Pacific/Port_Moresby,GMT +10:00,10,Siassi,SSS,PG,-5.5971687,147.811020839622,1194,
SUZ,Pacific/Port_Moresby,GMT +10:00,10,Suria,SUZ,PG,-9.133333,147.6,3385,
EOR,America/Caracas,GMT -4:00,-4,El Dorado,EOR,VE,6.733333,-61.88333,515,SVED
ICA,America/Caracas,GMT -4:00,-4,Icabaru,ICA,VE,4.3380481,-61.7385793,1656,SVIC
KAV,America/Caracas,GMT -4:00,-4,Kavanayen,KAV,VE,5.666667,-61.766666,3900,SVKA
PPH,America/Caracas,GMT -4:00,-4,Peraitepuy,PPH,VE,4.583333,-61.516666,2916,SVPX
PBV,America/Cuiaba,GMT -4:00,-4,Porto Dos Gauchos,PBV,BR,-11.5166667,-57.3333333,807,SWPG
PBX,America/Cuiaba,GMT -4:00,-4,Porto Alegre Do Norte,PBX,BR,-10.8612428,-51.6844371,629,SWPQ
JRN,America/Cuiaba,GMT -4:00,-4,Juruena,JRN,BR,-10.3141606,-58.4948855786795,525,SWJU
OPS,America/Cuiaba,GMT -4:00,-4,Sinop Airport,OPS,BR,-11.88507355,-55.5855810849181,1240,SBSI
URM,America/Caracas,GMT -4:00,-4,Uriman,URM,VE,5.341667,-62.75833,1148,SVUM
AIR,America/Cuiaba,GMT -4:00,-4,Aripuana,AIR,BR,-10.25,-59.38333,1095,SSOU
CCX,America/Cuiaba,GMT -4:00,-4,Caceres,CCX,BR,-16.066668,-57.7,374,SWKC
CQA,America/Cuiaba,GMT -4:00,-4,Canarana Airport,CQA,BR,-13.57509615,-52.2686771785561,1325,SWEK
